-13.79,0.50,0.70,6.10,0.00,0.00,0.00,0.00,0.00,0.59,0.07,0.59,0.07,1121
-0.79,0.91,0.28,-5.60,-0.22,0.22,0.00,0.22,0.00,1.22,0.35,1.22,0.35,1018
-0.49,1.40,0.55,-5.66,-0.16,0.16,0.00,0.16,0.00,1.54,0.60,1.54,0.60,1045
-0.47,1.56,0.78,-3.18,-0.11,0.11,0.00,0.11,0.00,1.65,0.96,1.65,0.96,1071
-1.47,0.83,0.04,1.92,0.01,0.00,0.01,0.00,0.01,1.04,0.05,1.04,0.05,1026
1.14,1.29,0.19,5.30,0.21,0.00,0.21,0.00,0.21,1.34,0.42,1.34,0.42,1060
-0.04,1.55,0.53,0.56,0.12,0.00,0.12,0.00,0.12,1.60,0.69,1.60,0.69,1107
-3.48,1.84,0.80,0.02,-0.03,0.03,0.00,0.03,0.00,2.03,0.82,2.03,0.82,1075
-2.66,1.55,0.34,2.71,0.06,0.00,0.06,0.00,0.06,1.43,0.16,1.43,0.16,1047
-1.83,1.85,0.17,1.01,0.06,0.00,0.06,0.00,0.06,1.93,0.23,1.93,0.23,1099
-1.19,2.03,0.34,4.27,0.18,0.00,0.18,0.00,0.18,2.19,0.51,2.19,0.51,1057
-1.23,2.48,0.52,1.33,0.08,0.00,0.08,0.00,0.08,2.62,0.59,2.62,0.59,1013
-2.26,3.01,0.66,1.69,0.02,0.00,0.02,0.00,0.02,3.07,0.74,3.07,0.74,1048
0.03,2.86,0.56,-1.79,-0.06,0.06,0.00,0.06,0.00,2.40,0.07,2.40,0.07,1173
-1.32,2.56,0.20,4.36,0.08,0.00,0.08,0.00,0.08,2.74,0.27,2.74,0.27,1046
-0.87,3.01,0.55,-2.45,-0.16,0.16,0.00,0.16,0.00,3.35,0.64,3.35,0.64,1033
-3.02,3.58,0.75,2.59,0.08,0.00,0.08,0.00,0.08,3.65,0.85,3.65,0.85,1044
-3.54,3.55,0.52,-0.27,0.00,0.00,0.00,0.00,0.00,3.10,0.03,3.10,0.03,1043
-1.91,3.31,0.27,-1.07,-0.10,0.10,0.00,0.10,0.00,3.52,0.37,3.52,0.37,1065
-2.46,3.69,0.56,1.19,-0.01,0.01,0.00,0.01,0.00,3.89,0.60,3.89,0.60,1035
-1.07,3.95,0.82,-9.23,0.00,0.00,0.00,0.00,0.00,4.01,0.86,4.01,0.86,1085
-2.21,3.63,0.53,-5.25,-0.21,0.21,0.00,0.21,0.00,3.42,0.24,3.42,0.24,1044
-1.44,3.64,0.49,2.73,0.09,0.00,0.09,0.00,0.09,3.78,0.69,3.78,0.69,1024
